county_name, pop_total , pop_male , pop_female , hh_total , hh_conventional , hh_group_quarters , land_area_sqkm  , persons_per_sqkm  ,level
Kenya,"47,564,296","23,548,056","24,014,716","12,143,913","12,043,016","100,897","580,895",82,National
Mombasa,"1,208,333","610,257","598,046","378,422","376,295","2,127",220,"5,495",County
Changamwe,"131,882","68,761","63,121","46,614","46,439",175,18,"7,457",Sub-county
Jomvu,"163,415","83,002","80,410","53,472","53,214",258,37,"4,432",Sub-county
Kisauni,"291,930","146,748","145,176","88,202","88,159",43,88,"3,328",Sub-county
Likoni,"250,358","126,962","123,392","81,191","80,002","1,189",40,"6,187",Sub-county
Mvita,"154,171","75,565","78,601","38,995","38,710",285,15,"10,543",Sub-county
Nyali,"216,577","109,219","107,346","69,948","69,771",177,23,"9,610",Sub-county
Kwale,"866,820","425,121","441,681","173,176","172,802",374,"8,254",105,County
Kinango,"94,220","45,413","48,806","16,043","16,041",2,"1,612",58,Sub-county
Lunga Lunga,"198,423","97,174","101,245","37,366","37,276",90,"2,765",72,Sub-county
Matuga,"194,252","95,831","98,419","39,231","39,124",107,"1,034",188,Sub-county
Msambweni,"177,690","89,206","88,480","45,466","45,374",92,412,432,Sub-county
Samburu,"202,235","97,497","104,731","35,070","34,987",83,"2,430",83,Sub-county
Kilifi,"1,453,787","704,089","749,673","298,472","297,990",482,"12,553",116,County
Chonyi,"62,335","29,527","32,807","11,421","11,416",5,193,324,Sub-county
Ganze,"143,906","66,921","76,981","23,258","23,197",61,"3,218",45,Sub-county
Kaloleni,"193,682","92,614","101,063","36,355","36,344",11,706,274,Sub-county
Kauma,"22,638","10,965","11,673","3,479","3,479", - ,181,125,Sub-county
Kilifi North,"178,824","86,986","91,836","39,512","39,508",4,264,676,Sub-county
Kilifi South,"206,753","101,852","104,897","53,074","53,011",63,290,712,Sub-county
Magarini,"191,610","93,302","98,308","33,017","32,978",39,"5,229",37,Sub-county
Malindi,"333,226","163,351","169,866","73,547","73,317",230,"2,263",147,Sub-county
Rabai,"120,813","58,571","62,242","24,809","24,740",69,208,581,Sub-county
Tana River,"315,943","158,550","157,391","68,242","66,984","1,258","37,904",8,County
Tana Delta,"110,640","55,716","54,924","22,791","22,395",396,"15,432",7,Sub-county
Tana North,"116,757","59,123","57,632","26,886","26,119",767,"13,305",9,Sub-county
Tana River,"88,546","43,711","44,835","18,565","18,470",95,"9,167",10,Sub-county
Lamu,"143,920","76,103","67,813","37,963","34,231","3,732","6,283",23,County
Lamu East,"22,258","11,675","10,583","5,090","4,476",614,"2,338",10,Sub-county
Lamu West,"121,662","64,428","57,230","32,873","29,755","3,118","3,945",31,Sub-county
Taita Taveta,"340,671","173,337","167,327","96,429","94,468","1,961","17,152",20,County
Mwatate,"81,659","41,426","40,231","23,698","23,184",514,"2,723",30,Sub-county
Taita,"55,959","28,386","27,573","15,094","14,985",109,478,117,Sub-county
Taveta,"91,222","47,410","43,812","24,115","23,417",698,"6,399",14,Sub-county
Voi,"111,831","56,115","55,711","33,522","32,882",640,"7,553",15,Sub-county
Garissa,"841,353","458,975","382,344","141,394","138,940","2,454","44,753",19,County
Balambala,"32,257","20,277","11,979","4,337","3,986",351,"3,684",9,Sub-county
Dadaab,"185,252","99,059","86,185","35,793","35,169",624,"6,415",29,Sub-county
Fafi,"134,040","72,617","61,413","23,671","23,351",320,"15,050",9,Sub-county
Garissa,"163,914","83,460","80,449","30,518","29,790",728,"3,318",49,Sub-county
Hulugho,"133,984","78,081","55,898","20,254","20,078",176,"7,737",17,Sub-county
Ijara,"141,591","80,458","61,129","18,481","18,296",185,"2,453",58,Sub-county
Lagdera,"50,315","25,023","25,291","8,340","8,270",70,"6,096",8,Sub-county
Wajir,"781,263","415,374","365,840","127,932","126,878","1,054","56,774",14,County
Buna,"49,886","26,796","23,088","6,480","6,480", - ,"3,888",13,Sub-county
Eldas,"89,104","45,028","44,069","13,961","13,862",99,"4,492",20,Sub-county
Habaswein,"174,134","94,613","79,505","31,292","31,113",179,"10,912",16,Sub-county
Tarbaj,"56,637","26,856","29,776","9,309","9,241",68,"9,608",6,Sub-county
Wajir East,"110,654","59,359","51,292","18,674","18,282",392,"4,053",27,Sub-county
Wajir North,"62,206","31,990","30,209","10,490","10,478",12,"4,042",15,Sub-county
Wajir South,"116,814","64,947","51,864","21,364","21,149",215,"10,734",11,Sub-county
Wajir West,"121,828","65,785","56,037","16,362","16,273",89,"9,044",13,Sub-county
Mandera,"867,457","434,976","432,444","125,763","123,954","1,809","25,942",33,County
Mandera West,"98,300","48,166","50,130","14,274","14,201",73,"4,018",24,Sub-county
Banisa,"152,598","78,301","74,288","24,285","24,000",285,"3,944",39,Sub-county
Kutulo,"72,394","35,799","36,593","9,446","9,342",104,"2,509",29,Sub-county
Lafey,"83,457","40,476","42,976","11,597","11,380",217,"3,795",22,Sub-county
Mandera Central,"157,220","71,688","85,527","21,140","20,795",345,"4,032",39,Sub-county
Mandera East,"159,638","83,538","76,095","25,904","25,206",698,"2,506",64,Sub-county
Mandera North,"143,850","77,008","66,835","19,117","19,030",87,"5,138",28,Sub-county
Marsabit,"459,785","243,548","216,219","77,495","76,689",806,"70,944",6,County
Loiyangalani,"35,713","17,659","18,051","7,774","7,646",128,"11,789",3,Sub-county
Marsabit Central,"79,181","40,956","38,214","15,849","15,658",191,"2,143",37,Sub-county
Marsabit North,"54,297","30,091","24,205","7,521","7,468",53,"19,837",3,Sub-county
Marsabit South,"65,376","33,215","32,161","11,615","11,563",52,"8,447",8,Sub-county
Moyale,"108,949","56,440","52,508","17,709","17,591",118,"3,327",33,Sub-county
North Horr,"71,447","41,719","29,726","9,789","9,601",188,"19,337",4,Sub-county
Sololo,"44,822","23,468","21,354","7,238","7,162",76,"6,064",7,Sub-county
Isiolo,"268,002","139,510","128,483","58,072","53,217","4,855","25,349",11,County
Garbatulla,"99,730","54,661","45,068","18,661","17,047","1,614","9,902",10,Sub-county
Isiolo,"121,066","60,414","60,647","29,853","27,612","2,241","2,691",45,Sub-county
Merti,"47,206","24,435","22,768","9,558","8,558","1,000","12,756",4,Sub-county
Meru,"1,545,714","767,698","777,975","426,360","423,931","2,429","7,014",220,County
Buuri East,"76,598","38,101","38,497","23,834","23,737",97,333,230,Sub-county
Buuri West,"80,762","40,496","40,264","27,973","27,905",68,639,126,Sub-county
Igembe Central,"221,412","111,208","110,200","52,031","51,848",183,603,367,Sub-county
Igembe North,"169,317","83,364","85,949","38,871","38,716",155,"1,113",152,Sub-county
Igembe South,"161,646","80,192","81,446","43,281","43,222",59,255,633,Sub-county
Imenti North,"177,567","88,506","89,056","57,668","57,556",112,232,767,Sub-county
Imenti South,"206,506","103,338","103,162","64,186","63,954",232,418,494,Sub-county
Meru Central,"133,818","66,920","66,894","39,595","39,498",97,377,355,Sub-county
