county,total_schools,installed_schools,not_installed,percent_installed,ldd_hi,ldd_vi,embosser,ldd,tdd,dcswr,projector,installed_exceeds_total,recalculated_percentage_installed,pct_comparison
Baringo,635,633,2,99.69,24,38,3,19283,1274,637,633,OK,99.69,OK
Bomet,632,630,2,99.68,12,3,2,27609,1260,630,630,OK,99.68,OK
Bungoma,741,741,0,100,24,0,0,58871,1482,741,741,OK,100,OK
Busia,432,431,1,99.77,18,0,0,31557,862,431,431,OK,99.77,OK
Elgeyo Marakwet,369,369,0,100,0,0,0,13964,738,369,369,OK,100,OK
Embu,381,381,0,100,13,7,0,12740,774,387,381,OK,100,OK
Garissa,163,153,9,94.44,0,51,2,7762,310,155,153,OK,93.87,OK
Homa Bay,875,875,0,100,181,65,1,34514,1750,875,875,OK,100,OK
Isiolo,116,95,1,98.96,20,20,1,4048,214,107,94,OK,81.9,MISMATCH
Kajiado,395,395,1,99.75,20,36,3,15956,838,419,394,OK,100,OK
Kakamega,880,879,1,99.89,61,6,2,66390,1758,879,879,OK,99.89,OK
Kericho,503,502,1,99.8,66,20,0,23783,1008,504,502,OK,99.8,OK
Kiambu,481,481,1,99.79,35,47,0,23732,994,497,481,OK,100,OK
Kilifi,507,507,0,100,45,0,0,33210,1013,507,506,OK,100,OK
Kirinyaga,199,199,0,100,15,11,0,9329,406,203,199,OK,100,OK
Kisii,697,738,1,99.86,35,2,1,36639,1476,738,738,NOT REALISTIC,105.88,MISMATCH
Kisumu,613,613,0,100,85,25,2,30759,1226,613,613,OK,100,OK
Kitui,1238,1232,6,99.52,83,57,5,42696,2464,1232,1232,OK,99.52,OK
Kwale,364,362,2,99.45,29,9,2,22553,724,362,362,OK,99.45,OK
Laikipia,292,289,3,98.97,32,15,0,11096,606,303,289,OK,98.97,OK
Lamu,93,91,2,97.85,0,0,0,3171,182,91,91,OK,97.85,OK
Machakos,837,835,2,99.76,40,11,0,30678,1674,837,835,OK,99.76,OK
Makueni,887,887,0,100,85,13,5,32297,1774,887,887,OK,100,OK
Mandera,198,200,0,100,92,129,1,14090,576,289,198,NOT REALISTIC,101.01,MISMATCH
Marsabit,138,159,0,100,36,11,1,8011,330,165,159,NOT REALISTIC,115.22,MISMATCH
Meru,714,712,2,99.72,65,95,1,37702,1462,731,712,OK,99.72,OK
Migori,601,601,0,100,55,132,21,32629,1202,601,601,OK,100,OK
Mombasa,96,94,2,97.92,15,12,1,5937,188,94,94,OK,97.92,OK
Murang'a,482,485,0,100,34,22,0,20664,1012,507,486,NOT REALISTIC,100.62,OK
Nairobi City,203,201,2,99.01,90,8,1,16495,436,218,201,OK,99.01,OK
Nakuru,691,689,2,99.71,23,11,0,43136,1384,692,689,OK,99.71,OK
Nandi,709,709,0,100,41,0,0,28689,1418,709,709,OK,100,OK
Narok,616,615,1,99.84,0,0,0,34396,1230,615,615,OK,99.84,OK
Nyamira,407,365,0,100,8,34,3,15530,730,365,365,OK,89.68,MISMATCH
Nyandarua,344,344,0,100,15,0,0,13343,688,344,344,OK,100,OK
Nyeri,392,389,3,99.23,82,0,0,11847,786,393,389,OK,99.23,OK
Samburu,146,114,34,76.71,20,9,0,6451,244,122,112,OK,78.08,MISMATCH
Siaya,643,642,1,99.84,31,20,1,31688,1284,642,642,OK,99.84,OK
Taita Taveta,194,194,0,100,64,7,1,7025,388,194,194,OK,100,OK
Tana River,159,159,0,100,60,0,0,8016,318,159,159,OK,100,OK
Tharaka Nithi,413,411,2,99.28,10,0,0,12001,822,411,411,OK,99.52,OK
Trans Nzoia,352,351,1,99.72,16,5,1,27502,702,351,351,OK,99.72,OK
Turkana,358,353,5,98.6,21,31,2,29625,706,353,353,OK,98.6,OK
Uasin Gishu,456,456,0,100,0,0,0,20319,912,456,456,OK,100,OK
Vihiga,378,378,0,100,0,0,0,22097,756,378,378,OK,100,OK
Wajir,211,211,1,99.53,22,31,1,11160,428,214,211,OK,100,OK
West Pokot,498,498,0,100,0,7,1,27870,996,498,498,OK,100,OK
