county,internet_total_pct,internet_male_pct,internet_female_pct,mobile_owned_total_pct,computer_used_total_pct,population_total
Mombasa,46.9,49.2,44.6,58.5,15.4,1220631
Kwale,25.6,27.1,24.2,42.7,4.9,872142
Kilifi,30.5,36.2,24.9,50.7,6.4,1474220
Tana River,15.5,21.3,9.9,35.5,3.7,322894
Lamu,28.8,31.6,25.9,51.3,4.4,152779
Taita Taveta,37.6,40.2,35,60.3,13.4,342412
Garissa,16.5,18.8,14.3,49.8,4.6,855136
Wajir,24.2,27.6,20.8,43.9,2,795059
Mandera,24.9,32.5,17.5,43.4,3.6,885303
Marsabit,16.3,18.9,13.8,34.8,3.5,477556
Isiolo,33.1,34.2,32.1,47.9,11.3,291338
Meru,31.4,35.8,26.9,55.4,10.5,1507433
Tharaka Nithi,33.4,34.7,32.1,59.3,11.9,391132
Embu,36.8,37.7,36,60,13.2,613977
Kitui,26.2,27.1,25.4,52.4,7,1138458
Machakos,37.3,38.1,36.6,60.9,13.5,1403526
Makueni,30.3,32.9,27.8,56.5,4.5,974882
Nyandarua,41.6,42.7,40.5,63.9,13.6,649140
Nyeri,50.1,52.3,48,61,21.3,788405
Kirinyaga,36.6,37.9,35.4,65,12.6,616091
Murang'a,35.8,34.9,36.7,62.3,11.7,1048480
Kiambu,54,50.5,57.4,62.1,14.7,2467601
Turkana,12.7,13.9,11.4,29.4,4.3,941106
West Pokot,9.1,10.7,7.6,29,4.4,625063
Samburu,18.9,25.4,12.5,36.8,6.4,317772
Trans Nzoia,30.6,32.5,28.7,54.7,10.1,991265
Uasin Gishu,42.1,50.2,34.1,57.2,10.9,1188251
Elgeyo Marakwet,30.3,34.8,25.8,47,10.6,453943
Nandi,24.4,26.5,22.3,52.2,8.8,887379
Baringo,23.4,27.2,19.7,44.2,5.2,676656
Laikipia,38,40.2,35.9,57.9,13.6,520967
Nakuru,40.1,42.7,35.8,58.4,13.8,2189265
Narok,20.5,26.6,14.5,39.3,6.7,1172799
Kajiado,37,39.1,34.9,52.4,12.4,1175068
Kericho,26.4,31.9,21,52.2,9.6,889658
Bomet,20.6,27.4,14.1,44.9,8.8,875614
Kakamega,35,38.6,31.3,53.2,6.4,1866364
Vihiga,18.3,18.6,18,50.9,6.2,593273
Bungoma,34.9,39,30.8,54.6,10.3,1680246
Busia,29.7,33.2,26.4,49.2,8.2,885542
Siaya,27.4,30.3,24.5,48.2,9.5,992733
Kisumu,33.4,36,30.5,53.4,15.8,1172266
Homa Bay,27.7,31.5,24.2,46.5,11.4,1132344
Migori,30.4,36.5,24.4,43.5,12,1131244
Kisii,28.1,31.1,25.1,56.6,9.8,1253532
Nyamira,26.4,31,22.1,57.4,12.5,612861
Nairobi City,64.7,66.7,62.8,67.7,27.8,4415690
