county,public_computers_or_tablets,public_internet_pct,private_computers_or_tablets,private_internet_pct
Mombasa,226,23.5,1459,60
Kwale,749,18.1,195,48.3
Kilifi,755,9.9,706,37.7
Tana River,658,25.4,42,25
Lamu,130,8.2,7,33.3
Taita Taveta,24,13.1,125,29
Garissa,1356,12.6,313,45.1
Wajir,965,16.2,24,23.5
Mandera,1360,15.3,162,34.1
Marsabit,298,3.4,27,39.1
Isiolo,219,22.5,56,59.1
Meru,5739,11.4,573,33.5
Tharaka Nithi,2893,10.3,221,39
Embu,1827,16.8,498,32.4
Kitui,5918,22.8,366,40.5
Machakos,2626,13.3,1065,45.8
Makueni,4231,12.7,271,31
Nyandarua,799,14.1,291,40.2
Nyeri,829,9.7,525,45.8
Kirinyaga,1124,7.9,393,54.4
Murang'a,1599,9.2,303,40.4
Kiambu,1929,12.8,2950,68
Turkana,1359,18.5,60,34.1
West Pokot,4208,19.1,50,30.3
Samburu,137,14.9,14,20
Trans Nzoia,2018,17.1,478,40.1
Uasin Gishu,2139,13.1,868,37.7
Elgeyo Marakwet,864,21.8,65,30.4
Nandi,3702,14.5,161,25.6
Baringo,1342,13.5,146,29.4
Laikipia,545,17.7,121,35.5
Nakuru,2918,14.8,1342,57
Narok,6077,19.9,134,26.9
Kajiado,1483,16.9,1648,65.3
Kericho,2045,6.2,274,27.7
Bomet,3509,11,210,28.7
Kakamega,2275,10.8,506,39.6
Vihiga,1985,14.6,120,44.7
Bungoma,2355,19.3,117,38.5
Busia,2733,17.4,300,35.9
Siaya,708,15.9,119,27.5
Kisumu,1666,16.9,482,36.2
Homa Bay,3911,19.1,311,35.5
Migori,3035,19,260,27.4
Kisii,4352,10.7,277,27.5
Nyamira,3084,12.5,83,27.3
Nairobi City,1018,15.1,5602,58.7
