county,public_computers_tablets,private_computers_tablets,public_internet_pct,private_internet_pct
Mombasa,3527,2437,28.1,74.1
Kwale,16193,486,22.2,42.4
Kilifi,24114,1326,20.2,47.5
Tana River,5541,6,22,10
Lamu,2194,45,17.3,30.4
Taita Taveta,6047,180,20.7,39.3
Garissa,5708,611,15.2,41
Wajir,7831,49,20.7,26.8
Mandera,11548,98,17.5,35.4
Marsabit,5872,73,7.6,31.8
Isiolo,3095,170,20.7,36.4
Meru,31099,786,13.6,35.7
Tharaka Nithi,9679,270,13.8,30
Embu,10751,883,16.3,30.1
Kitui,34725,768,28.7,40.8
Machakos,23782,2204,17.3,39.1
Makueni,27311,360,17.9,29.3
Nyandarua,11757,499,20.9,40
Nyeri,9879,712,12.1,46.8
Kirinyaga,7515,526,15.7,49.7
Murang'a,18361,516,13.3,40.9
Kiambu,17702,4761,17.3,71.1
Turkana,21389,125,22.3,40
West Pokot,20688,55,19.1,20.8
Samburu,4989,29,13.7,9.1
Trans Nzoia,22945,585,26.2,31.6
Uasin Gishu,15913,1135,17.1,28.9
Elgeyo Marakwet,11896,143,27,20
Nandi,24152,317,20.4,27.4
Baringo,15345,269,16.1,24.1
Laikipia,8618,380,22.3,49.4
Nakuru,35880,2678,22.4,73
Narok,24483,226,19.1,23
Kajiado,10453,2379,18.6,72.5
Kericho,20562,538,10.8,26.1
Bomet,21548,210,16.2,18.7
Kakamega,51587,946,23.2,35
Vihiga,16157,211,21.8,32.3
Bungoma,40930,607,20.3,29
Busia,21838,388,19.2,26
Siaya,21289,163,20.4,12.9
Kisumu,25654,879,25.6,38.2
Homa Bay,26081,401,19.6,28.2
Migori,25679,493,28.3,17.3
Kisii,26534,592,14.3,23.2
Nyamira,15167,237,17.2,16.1
Nairobi City,11973,8763,33.7,94
