county,public_computers,private_computers,public_internet_pct,private_internet_pct
Mombasa,710,535,80,53.2
Kwale,675,187,59.3,80
Kilifi,1091,349,45.9,65.9
Tana River,260,2,24.2,
Lamu,254,27,51.9,50
Taita Taveta,826,25,57.5,57.1
Garissa,356,182,34.3,45.5
Wajir,290,13,17,66.7
Mandera,367,43,7,12.5
Marsabit,390,72,28.6,33.3
Isiolo,250,36,31.3,
Meru,2745,235,29.4,36.4
Tharaka Nithi,800,95,29.8,33.3
Embu,1179,114,33.2,61.5
Kitui,1880,100,21.4,58.3
Machakos,2248,754,27.4,53
Makueni,1971,202,26.2,76.5
Nyandarua,1032,251,34.7,51.6
Nyeri,2173,219,45.2,58.8
Kirinyaga,1101,50,35.3,13.3
Murang'a,2796,341,36.7,39.4
Kiambu,3063,977,63.8,46.5
Turkana,735,122,43.9,
West Pokot,668,71,32.9,50
Samburu,309,47,20.5,37.5
Trans Nzoia,1244,71,25,57.1
Uasin Gishu,1196,321,29.9,47.5
Elgeyo Marakwet,877,51,25.8,50
Nandi,1418,12,28.9,33.3
Baringo,1227,117,29.5,42.9
Laikipia,1200,169,44.2,40
Nakuru,2558,766,42.4,29.5
Narok,786,139,24.4,52.9
Kajiado,747,962,44.6,57.5
Kericho,1660,81,49.8,27.3
Bomet,1651,25,29,38.5
Kakamega,2670,259,25.6,28.6
Vihiga,1667,87,28.3,66.7
Bungoma,2646,108,27.5,24.1
Busia,1033,20,25.3,14.3
Siaya,1416,38,22.3,
Kisumu,1399,107,28.7,45
Homa Bay,1513,192,24.6,30.4
Migori,1040,87,21.9,21.2
Kisii,2406,79,21.4,35
Nyamira,1394,34,23.7,25
Nairobi City,2452,1653,77.2,60.2
